experiment_datetime,experiment_name,comments,params.n_models,other.n_features,other.n_splits,scores.auc_mean,scores.auc_std,scores.kaggle
2020-01-31_16-34-25,Exp0,,0.0,11.0,4.0,0.8183511601353253,0.004261991250731739,
2020-01-31_16-35-49,Exp0,,0.0,25.0,4.0,0.8196922137226184,0.004333012610820296,
2020-01-31_16-36-37,Exp0,,0.0,33.0,4.0,0.9001953980222798,0.0027130667610674396,
2020-01-31_16-39-38,Exp0,,0.0,38.0,4.0,0.8892761022949148,0.0022240155751120628,
2020-01-31_17-00-05,Exp0,,0.0,38.0,4.0,0.8889540419922727,0.0021661966983021327,
2020-01-31_17-02-10,Exp0,,0.0,54.0,4.0,0.9031139757455884,0.003015287893524689,0.90404
2020-01-31_17-08-17,Exp0,,0.0,8.0,4.0,0.5446039901302915,0.004402907119062685,
2020-01-31_17-09-19,Exp0,,0.0,58.0,4.0,0.903344978644242,0.0025242590868081853,
2020-01-31_17-56-00,Exp0,,0.0,20.0,4.0,0.7918866152131689,0.004386839248434272,
2020-01-31_17-57-29,Exp0,,0.0,74.0,4.0,0.9045442952356988,0.002557469043558377,
2020-01-31_17-59-44,Exp0,,0.0,95.0,4.0,0.9032999426938226,0.0022725986372623412,
2020-01-31_18-02-45,Exp0,,0.0,158.0,4.0,0.9047681935051036,0.0024854355868215,
2020-01-31_18-05-58,Exp0,,0.0,90.0,4.0,0.9059218869956828,0.0025813775967444556,0.9077299999999999
2020-01-31_18-07-58,Exp0,,0.0,90.0,8.0,0.9059926369411572,0.0032428094372759075,0.90802
2020-01-31_18-13-50,Exp0,,0.0,90.0,4.0,0.9047282416924468,0.002528940092129193,0.90893
2020-01-31_18-18-25,Exp0,,0.0,93.0,4.0,0.9054151866709071,0.0022901806932310496,
2020-01-31_18-23-11,Exp0,,0.0,201.0,4.0,0.9062325132665529,0.00266778242428744,0.90951
2020-01-31_18-28-17,Exp0,,0.0,297.0,4.0,0.9076440084785892,0.001616335670899015,0.91061
2020-02-03_13-06-35,Exp0,,0.0,322.0,4.0,0.9069989113262136,0.0023447113458084225,
2020-02-03_13-24-15,Exp0,,0.0,496.0,4.0,0.9069724930979312,0.0022371415239848804,
2020-02-03_14-00-39,Exp0,,0.0,521.0,4.0,0.9029223241142936,0.002438311755631869,
2020-02-03_14-16-56,Exp0,,0.0,521.0,4.0,0.9069120683350204,0.002902263284339455,
2020-02-03_14-35-52,Exp0,,0.0,496.0,4.0,0.906990520892598,0.002228111057983332,
2020-02-14_16-13-22,Exp0,,0.0,285.0,4.0,0.907507616740452,0.0024331755929584307,0.91133
2020-02-14_16-24-13,Exp0,,0.0,471.0,4.0,0.907198512009332,0.0023412647034038625,
2020-02-14_16-59-46,Exp0,,0.0,471.0,4.0,0.9387729850487682,0.001642958491779489,0.90695
2020-02-14_17-09-14,Exp0,,0.0,471.0,4.0,0.9340577483199156,0.001569278504502244,0.90172
2020-02-14_17-20-55,Exp0,,0.0,692.0,4.0,0.9075865213233428,0.002361887694385841,0.9124
2020-02-14_17-47-04,Exp0,,0.0,692.0,8.0,0.9086817995037912,0.003575503519850929,0.91297
2020-02-14_18-13-09,Exp0,,0.0,774.0,8.0,0.9086217662035267,0.003582588568400012,0.91248
2020-02-14_18-38-24,Exp0,,0.0,692.0,12.0,0.9090705267506416,0.004284943410120461,0.91268
2020-02-17_13-50-06,Exp0,,0.0,692.0,8.0,0.9092151275705944,0.003488844201162981,0.91275
2020-02-17_15-10-51,Exp0,,0.0,696.0,8.0,0.908705151049084,0.0040157159672221145,0.91257
2020-02-17_15-28-58,Exp0,,0.0,595.0,8.0,0.90781462239779,0.003724532963788152,
2020-02-17_16-17-43,Exp0,,0.0,692.0,8.0,0.909210366884554,0.0036133085733900078,0.91293
2020-02-17_17-58-07,Exp0,,0.0,1532.0,8.0,0.9085767250160356,0.0036911127934990476,0.91201
2020-02-17_18-44-11,Exp0,,0.0,734.0,8.0,0.9090166224960454,0.003431292646989952,0.91277
2020-02-17_23-53-17,Exp0,,0.0,734.0,8.0,0.9101636207530496,0.0031930171780607678,0.9129200000000001
2020-02-18_15-29-20,Exp0,,0.0,734.0,4.0,0.8962933486392253,0.009031042330175787,
2020-02-18_16-48-02,Exp0,,0.0,774.0,8.0,0.9092226837500832,0.0029590006479390967,0.91206
2020-02-18_17-08-18,Exp0,,0.0,621.0,8.0,0.9087461354854566,0.003396113888039387,0.91163
2020-02-18_17-08-43,ENS,,5.0,,,,,0.9134
2020-02-18_17-14-49,ENS,,55.0,,,,,0.91307
2020-02-18_17-16-41,ENS,,12.0,,,,,0.91348
2020-02-18_17-19-04,ENS,,77.0,,,,,0.91295
2020-02-18_17-25-54,ENS,,19.0,,,,,0.91348
2020-02-18_18-07-00,Exp0,,0.0,621.0,8.0,0.9087487601740948,0.0032654206089858554,
2020-02-18_18-33-20,Exp0,,0.0,695.0,8.0,0.9085112351263234,0.003064512759780423,
2020-02-19_02-34-26,Exp0,,0.0,471.0,8.0,0.8174232751651739,0.02407971217198765,
2020-02-19_13-34-13,Exp0,,0.0,255.0,8.0,0.8471191884311672,0.002966674442916044,
2020-02-19_13-37-34,Exp0,,0.0,255.0,8.0,0.8411413814096942,0.00621674589760297,
2020-02-19_14-48-19,Exp0,,0.0,695.0,8.0,0.8633691404847819,0.007777077651650575,
2020-02-19_14-50-46,ENS,,13.0,,,,,0.91365
2020-02-19_17-24-47,Exp1,,0.0,1209.0,8.0,0.9090311947883044,0.003854109833751972,0.91183
2020-02-19_18-13-35,Exp0,,0.0,1209.0,8.0,0.8709659819834006,0.004064363712127221,0.8920100000000001
2020-02-19_18-16-13,ENS,,13.0,,,,,0.9136
2020-02-19_18-20-26,ENS,,14.0,,,,,0.91355
2020-02-19_18-34-47,Exp1,,0.0,489.0,8.0,0.9089479639160316,0.0037328808501522273,
2020-02-19_18-37-17,ENS,,25.0,,,,,0.9137700000000001
2020-02-20_13-33-24,Exp0,,0.0,203.0,8.0,0.8730371988197639,0.0045866891587655785,
2020-02-20_14-29-49,Exp0,,0.0,203.0,8.0,0.8735448964447783,0.004680583992031222,
2020-02-20_16-41-45,Exp0,,0.0,274.0,8.0,0.8914164736715053,0.003157225612459745,0.8936200000000001
2020-02-20_16-44-47,ENS,,26.0,,,,,0.9137799999999999
2020-02-20_16-46-41,ENS,,2.0,,,,,0.90875
2020-02-20_17-00-04,Exp0,,0.0,274.0,8.0,0.9071157482619064,0.004105269402337207,
2020-02-20_17-13-10,Exp0,,0.0,517.0,8.0,0.9090549285351148,0.00330877283293579,0.9114700000000001
2020-02-21_02-24-04,Exp0,,0.0,274.0,8.0,0.8955177951804963,0.002732499762551114,0.89644
2020-02-21_02-29-06,ENS,,13.0,,,,,0.9136200000000001
2020-02-21_02-45-30,Exp0,,0.0,610.0,8.0,0.9089400685424128,0.00386374707699988,0.91198
